"ticker","perm_id","name"
"CME US","D9K19L-S-US","CME Group Inc. Class A"
"VPK NA","HBSLCD-S-NL","Royal Vopak NV"
"ES US","MTFQX3-S-US","Eversource Energy"
"VIAB US","X7JW88-S-US","Viacom Inc. Class B"
"BLL US","PHJ859-S-US","Ball Corporation"
"288 HK","SV8XPP-S-HK","WH Group Ltd. (HK)"
"CCL US","QBS6K5-S-US","Carnival Corporation"
"ALLE US","LC1NY7-S-US","Allegion PLC"
"CINF US","WJVTHK-S-US","Cincinnati Financial Corporation"
"CTAS US","TKPJVY-S-US","Cintas Corporation"
"2269 JP","TBXX5B-S-JP","Meiji Holdings Co., L"
"IFF US","W7TP6N-S-US","International Flavors & Fragrances Inc."
"ACIW US","BGT3MW-S-US","Aci Worldwide, Inc."
"ANTM IJ","XG9H0Z-S-ID","PT Aneka Tambang Tbk"
"LGEN LN","MKC740-S-GB","Legal & General Group"
"WFC US","G4G3T4-S-US","Wells Fargo & Company"
"IPG US","DXTWJN-S-US","Interpublic Group of Companies, Inc."
"CNK US","GZNG3H-S-US","Cinemark Holdings, In"
"EPAY US","S7Q60R-S-US","Bottomline Technologi"
"FGR FP","BL5XJ7-S-FR","Eiffage SA"
"TSCO LN","KX8CBL-S-GB","Tesco PLC"
"AFX GR","B4Q6W7-S-DE","Carl Zeiss Meditec AG"
"ALC US","MF3LBR-S-CH","Alcon, Inc."
"DG FP","C4CBZX-S-FR","VINCI SA"
"KLAC US","FJ1F7G-S-US","KLA-Tencor Corporation"
"PM SW","KQR4SX-S-CH","Phoenix Mecano AG"
"GWRE US","NVXZ1H-S-US","Guidewire Software, I"
"JW-A US","JJ82GB-S-US","John Wiley & Sons, In"
"RHT US","GRMT07-S-US","Red Hat, Inc."
"VRSK US","H46J90-S-US","Verisk Analytics Inc"
"IAG LN","KW8NSS-S-GB","International Consoli"
"FFIV US","GQM0CD-S-US","F5 Networks, Inc."
"LFUS US","SGMYM9-S-US","Littelfuse, Inc."
"IBM US","MCPQD9-S-US","International Business Machines Corporation"
"AGN US","JK7YB9-S-US","Allergan plc"
"CNO US","V3LWY1-S-US","CNO Financial Group, Inc."
"CCH LN","FDJNVF-S-GB","Coca-cola Hbc Ag"
"INCY US","SGJQG8-S-US","Incyte Corporation"
"HLNE US","G147VV-S-US","Hamilton Lane Incorporated Class A"
"SYNH US","C3MWSG-S-US","Syneos Health, Inc. C"
"AMG US","PP7H5M-S-US","Affiliated Managers Group, Inc."
"SPGI US","NXC32S-S-US","S&P Global, Inc."
"LONN SW","LGFX0C-S-CH","Lonza Group AG"
"ENG SM","PTRVXC-S-ES","Enagas SA"
"TON SJ","K8Z9QB-S-ZA","Tongaat Hulett Limited"
"NKTR US","X7L8YL-S-US","Nektar Therapeutics"
"TXN US","SJWX0Y-S-US","Texas Instruments Incorporated"
"KMX US","J2NC4K-S-US","CarMax, Inc."
"RNG US","JPYGCC-S-US","Ringcentral, Inc. Cla"
"HAL US","M1LGZB-S-US","Halliburton Company"
"MRVL US","F3NL57-S-US","Marvell Technology Gr"
"JCOM US","PJNPRK-S-US","J2 Global, Inc."
"4902 JP","SQG9VR-S-JP","Konica Minolta, Inc."
"ETR US","WSV8FS-S-US","Entergy Corporation"
"HCP IN","W4LK7P-S-IN","Hindustan Copper Ltd"
"HRS US","PRGHTD-S-US","Harris Corporation"
"EL US","BFMGRH-S-US","Estee Lauder Companies Inc. Class A"
"1113 HK","DNQVCP-S-HK","CK Asset Holdings Lim"
"CABO US","HQD3LB-S-US","Cable One, Inc."
"VIAV US","LBWC5M-S-US","Viavi Solutions Inc"
"COP US","L6CX6R-S-US","ConocoPhillips"
"BKI US","P51QVC-S-US","Black Knight, Inc."
"JCI US","G4F739-S-US","Johnson Controls International plc"
"TW/ LN","T430YC-S-GB","Taylor Wimpey plc"
"KIM US","Q50887-S-US","Kimco Realty Corporation"
"DBS SP","NSYZM4-S-SG","DBS Group Holdings Lt"
"WMT US","DWPYXW-S-US","Walmart Inc."
"MHK US","NK4RMT-S-US","Mohawk Industries, Inc."
"WAB US","Q9PG5H-S-US","Westinghouse Air Brake Technologies Corporation"
"GWW US","SHMTH8-S-US","W.W. Grainger, Inc."
"DSCT IT","K16KKD-S-IL","Israel Discount Bank"
"MDP US","GB58PD-S-US","Meredith Corporation"
"DLTR US","N81W08-S-US","Dollar Tree, Inc."
"LYB US","M1W3FF-S-US","LyondellBasell Industries NV"
"RACE IM","NZV6TT-S-IT","Ferrari NV"
"ATO US","QHBDVP-S-US","Atmos Energy Corporation"
"8766 JP","TJFV1M-S-JP","Tokio Marine Holdings"
"TRP CN","F3N7HX-S-CA","TC Energy Corporation"
"MXIM US","V0BDBS-S-US","Maxim Integrated Products, Inc."
"IRDM US","KHSZK3-S-US","Iridium Communication"
"JKHY US","DSGZ71-S-US","Jack Henry & Associates, Inc."
"SAF FP","DVL4J6-S-FR","Safran S.A."
"WWE US","QG1890-S-US","World Wrestling Entertainment"
"NYCB US","DQ5K00-S-US","New York Times Compan"
"DFS US","KNF6LD-S-US","Discover Financial Services"
"WRLD US","PD4Y6D-S-US","World Wrestling Enter"
"DIM FP","JS2BHP-S-FR","Sartorius Stedim Biot"
"ADM US","DKH0FF-S-US","Archer-Daniels-Midland Company"
"XLNX US","KHRJNM-S-US","Xilinx, Inc."
"CCI US","LY1BXZ-S-US","Crown Castle International Corp"
"SWMA SS","PN77L9-S-SE","Swedish Match AB"
"MT NA","XKNW3Y-S-NL","ArcelorMittal"
"APTV US","WC0FKB-S-US","Aptiv PLC"
"RF US","JJ8RRZ-S-US","Regions Financial Corporation"
"ARRS US","RZR3SW-S-US","Arris International P"
